id,state,month,year,dayweek,crash_type,bus_involvement,rigid_truck_involvement,articulated_truck_involvement,speed_limit,road_user,gender,age,time
83594981,Florida,February,2015,Friday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,40,Motorcycle rider,Female,24,23:42
18051429,North Dakota,September,2017,Sunday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,90,unknown2,Male,28,22:13
33306278,Texas,January,2017,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,Pedestrian,Female,59,20:55
26690521,Virginia,November,2017,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Motorcycle rider,Male,60,12:36
97969574,New Jersey,March,2015,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,50,Driver,Female,97,2:46
67108407,Ohio,February,2022,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,unknown2,Male,17,19:05
37459149,Illinois,October,2019,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Driver,Female,84,21:08
05439824,Tennessee,August,2020,Thursday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,Pedestrian,Male,17,20:45
99205312,California,October,2022,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Passenger,Male,28,6:49
14762135,New York,October,2015,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Driver,Female,12,0:59
52092689,Arizona,August,2017,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,70,unknown2,Female,11,19:06
82817498,Louisiana,November,2015,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Driver,Male,73,2:33
41987099,Florida,August,2019,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Pedestrian,Female,40,22:04
74820326,Kentucky,July,2022,Tuesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Pedestrian,Male,86,18:19
33446624,California,November,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,Passenger,Male,30,4:56
49254317,Texas,August,2019,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,unknown2,Female,84,0:50
20895577,California,May,2022,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Pedestrian,Male,11,18:53
34872831,Minnesota,March,2019,Friday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,Passenger,Female,17,11:18
18907150,Oklahoma,February,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown2,Female,76,8:36
64875427,Georgia,March,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Pedestrian,Male,97,12:30
06014702,Pennsylvania,March,2017,Thursday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Motorcycle rider,Male,46,3:59
98908689,Indiana,May,2017,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown2,Female,18,7:30
94443274,Georgia,May,2015,Tuesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,Passenger,Female,95,13:32
15658915,Louisiana,December,2021,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,70,Driver,Male,40,20:16
49826304,Nebraska,September,2022,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,Passenger,Male,37,5:40
78391800,Nevada,May,2021,Monday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,Passenger,Female,18,19:36
53204085,California,September,2020,Wednesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,100,Driver,Male,81,2:58
36185053,Tennessee,May,2015,Monday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,120,Passenger,Female,40,23:26
61162229,Virginia,June,2018,Tuesday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,50,Motorcycle rider,Male,77,21:03
00446404,Louisiana,March,2020,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,Driver,Male,66,11:53
48218535,New York,November,2015,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,unknown1,Female,49,8:53
41686296,California,June,2016,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,unknown1,Female,33,21:57
97512240,Kentucky,March,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,70,Passenger,Female,20,22:37
45431144,District of Columbia,November,2020,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,120,Passenger,Male,14,2:16
43690566,Kentucky,December,2015,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown2,Female,46,5:07
08307460,Washington,June,2018,Saturday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,70,unknown1,Female,42,18:41
36649883,Wisconsin,September,2016,Tuesday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,40,unknown1,Male,49,20:58
78123384,Oklahoma,October,2016,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,unknown2,Male,58,7:45
84385285,Georgia,April,2018,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,unknown2,Female,36,7:55
39751312,Missouri,October,2015,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown2,Female,51,13:12
53101744,Oregon,April,2015,Tuesday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,Pedestrian,Female,22,18:35
79228201,California,March,2020,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Motorcycle rider,Male,89,1:33
73853837,Florida,August,2015,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,unknown2,Male,59,17:34
07246784,Washington,May,2022,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,unknown2,Male,62,9:35
94016193,Florida,October,2021,Friday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,unknown1,Female,10,19:40
03619376,Tennessee,March,2018,Tuesday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,70,unknown2,Male,15,21:35
81003925,Alabama,March,2021,Wednesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Motorcycle rider,Female,50,20:46
35198845,Colorado,October,2021,Wednesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,Motorcycle rider,Male,75,10:04
46234248,Hawaii,July,2017,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown2,Male,82,16:01
96848781,Kentucky,April,2021,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown2,Female,83,0:45
63490323,Oregon,September,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,unknown1,Male,68,20:50
05166161,Georgia,June,2021,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Female,65,21:02
03576022,New York,January,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,Pedestrian,Male,21,21:00
17532777,Missouri,April,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,70,unknown2,Male,68,4:20
42252097,Nevada,January,2018,Friday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,60,unknown1,Male,56,6:14
85604032,Florida,November,2021,Saturday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,Passenger,Female,53,5:21
99364715,North Carolina,June,2022,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,Driver,Male,47,13:46
15707280,West Virginia,January,2018,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,120,Driver,Male,82,21:53
71972033,Alabama,September,2021,Friday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,unknown1,Male,81,14:58
04973074,Texas,November,2019,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,Driver,Female,84,9:13
01918585,Colorado,May,2019,Saturday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,40,unknown2,Male,45,1:55
47557517,Michigan,September,2020,Monday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,80,unknown1,Male,23,14:25
88580213,California,September,2019,Thursday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,70,Passenger,Female,24,2:40
28891954,Florida,February,2022,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,80,Pedestrian,Female,49,15:25
06004266,District of Columbia,December,2016,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,Passenger,Female,69,13:41
99518016,Maryland,March,2015,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Pedestrian,Female,37,14:05
24221664,District of Columbia,March,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Passenger,Female,24,8:24
39036361,New York,October,2019,Friday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,Pedestrian,Male,16,1:05
05610605,North Carolina,August,2019,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Male,24,21:28
75834957,Mississippi,March,2015,Saturday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,120,unknown2,Male,91,12:49
43282889,Tennessee,August,2016,Saturday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,120,Driver,Male,83,15:02
05390091,Maryland,April,2015,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,40,Passenger,Female,85,6:57
46041912,Florida,December,2017,Tuesday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,40,Driver,Female,65,6:56
36954263,Alaska,April,2019,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Motorcycle rider,Male,18,18:31
06541589,Wisconsin,July,2021,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,60,Driver,Female,15,0:00
17165983,California,August,2020,Wednesday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,Pedestrian,Male,72,11:24
93290902,New York,October,2016,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Motorcycle rider,Male,94,2:37
57373866,Tennessee,April,2021,Monday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,60,Pedestrian,Male,62,18:08
70917300,Massachusetts,April,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Female,84,12:49
14053450,California,April,2020,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown1,Male,76,22:09
90763889,Alabama,January,2018,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown2,Male,42,1:46
05173889,Tennessee,March,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,Pedestrian,Female,24,16:06
28968579,California,December,2017,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown1,Female,61,0:42
26648309,Colorado,March,2015,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown1,Female,25,21:52
11929180,Pennsylvania,July,2017,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,Motorcycle rider,Female,54,15:38
24782810,Florida,October,2022,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,Pedestrian,Male,77,8:28
